wavelength_nm,value
250,106112
252,105552
254,107660
256,109788
258,112944
260,116376
262,120188
264,124412
266,128696
268,133064
270,136068
272,137232
274,138408
276,137424
278,135820
280,131936
282,127720
284,122280
286,116508
288,108484
290,104752
292,98936
294,88136
296,79316
298,70884
300,65972
302,63208
304,61952
306,62352
308,62856
310,63352
312,65972
314,69016
316,72404
318,75536
320,78752
322,82256
324,85972
326,89796
328,93768
330,97512
332,100964
334,103504
336,104968
338,106452
340,107884
342,109060
344,110092
346,109032
348,107984
350,106576
352,105040
354,103696
356,101568
358,97828
360,94744
362,92248
364,89836
366,88484
368,87512
370,88176
372,91592
374,95140
376,98936
378,103432
380,109564
382,116968
384,125420
386,135132
388,148100
390,167748
392,189740
394,212060
396,231612
398,248404
400,266232